date,carry,constant,spy_total,carry_dd,spy_dd,inmkt,vix_over_vix3m
2011-07-28,1.0,0.995165336769174,0.9970900818858472,0.0,0.0,0.0,1.0127809369377094
2011-07-29,1.0,0.9988547256354665,0.9902755279750468,0.0,-0.006834441576142991,0.0,1.0344226235641902
2011-08-01,1.0,1.0072164996077733,0.9860639885349622,0.0,-0.01105827201693832,0.0,1.1021388113563089
2011-08-02,1.0,0.9932056143859065,0.9608727898469126,0.0,-0.036322988962476765,0.0,1.0571939627896552
2011-08-03,1.0,0.991992196785507,0.9660793512110221,0.0,-0.031101232715275873,0.0,1.0504237118345403
2011-08-04,1.0,0.9529445321745993,0.9208267702730774,0.0,-0.07648587925830053,0.0,1.0112456380332564
2011-08-05,1.0,0.9431936245490593,0.9194485561419559,0.0,-0.07786811558394402,0.0,1.1085434380961507
2011-08-08,1.0,0.915544092667617,0.8595710087941776,0.0,-0.13792041019159762,0.0,1.0814464290295496
2011-08-09,1.0,0.9336455774137541,0.8995402834420579,0.0,-0.09783448879492251,0.0,1.2598425701408715
2011-08-10,1.0,0.9111243491307258,0.8598007111493645,0.0,-0.137690037470657,0.0,1.1284197085409196
2011-08-11,1.0,0.9185322808319683,0.8983916956057408,0.0,-0.09898642868198337,0.0,1.1752323085862595
2011-08-12,1.0,0.917196562905227,0.9044409299477033,0.0,-0.09291954019130533,0.0,1.1531638188030062
2011-08-15,1.0,0.9275468829626768,0.9235835027768506,0.0,-0.07372110147758149,0.0,1.1102290076335877
2011-08-16,1.0,0.9233088971622936,0.9156963453518627,0.0,-0.08163127686521598,0.0,1.0595079814107062
2011-08-17,1.0,0.9196015925714772,0.9163090877933813,0.0,-0.0810167461897533,0.0,1.0791721229848854
2011-08-18,1.0,0.8815501734734028,0.8767992939162573,0.0,-0.12064184586218918,0.0,1.0516150275695393
2011-08-19,1.0,0.8726286680368393,0.862480698727183,0.0,-0.13500222858908661,0.0,1.1658470431404757
2011-08-22,1.0,0.867296722987867,0.8631698818531264,0.0,-0.13431103414390677,0.0,1.135883859281762
2011-08-23,1.0,0.875568578430241,0.8915769895741754,0.0,-0.10582102282284223,0.0,1.1092525316739033
2011-08-24,1.0,0.8791036773280294,0.9041345587269441,0.0,-0.09322680552903662,0.0,1.0425409326106718
2011-08-25,1.0,0.8754586783610078,0.8903521131741985,0.0,-0.10704947391490427,0.0,1.0316092180188325
2011-08-26,1.0,0.8783880098235495,0.9032923421113862,0.0,-0.09407148007836619,0.0,1.0860420469033745
2011-08-29,1.0,0.8894131314579566,0.9292491646098039,0.0,-0.06803890491793119,0.0,1.034292361459474
2011-08-30,1.0,0.8872592436607837,0.9316996019532003,0.0,-0.06558131619258567,0.0,1.009380877487739
2011-08-31,1.0,0.8869197123952933,0.935834244346565,0.0,-0.06143460721565486,0.0,1.0129349788576256
2011-09-01,0.9972437963452813,0.8846525649850263,0.926033635878717,-0.0027562036547187363,-0.0712638178816678,1.0,0.9984212164138462
2011-09-02,0.9871736588673388,0.8757193703316607,0.9023734566302559,-0.012826341132661234,-0.09499304724448665,1.0,0.9946858464415606
2011-09-06,0.9869762241355653,0.8705057138203574,0.8957886050746424,-0.013023775864434706,-0.10159711609968902,0.0,1.00384726489939
2011-09-07,0.9869762241355653,0.8768088255537759,0.9210561683867343,-0.013023775864434706,-0.07625581166679152,0.0,1.045788549547126
2011-09-08,0.9869762241355653,0.8739298999674343,0.9114851862136908,-0.013023775864434706,-0.08585472589422172,0.0,1.012742746577478
2011-09-09,0.9869762241355653,0.8572656585326155,0.8875955327911904,-0.013023775864434706,-0.10981409913090723,0.0,1.0180955482674077
2011-09-12,0.9869762241355653,0.8555715814328585,0.8933381677312461,-0.013023775864434706,-0.10405470482503432,0.0,1.0513100611809154
2011-09-13,0.9869762241355653,0.8574123406336728,0.9015310118335508,-0.013023775864434706,-0.09583795064088962,0.0,1.0412843650840136
2011-09-14,0.9869762241355653,0.8619138795888681,0.9140118360603646,-0.013023775864434706,-0.08332070224623289,0.0,1.023571785755354
2011-09-15,0.9966427153562142,0.8705278871438411,0.929785618487663,-0.0033572846437858184,-0.06750088544746924,1.0,0.9897025430806562
2011-09-16,1.0006126574290155,0.873995474105016,0.9352882829208925,0.0,-0.06198216198085715,1.0,0.9537589368557221
2011-09-19,0.9938222443452596,0.8680643175696239,0.9259754496860954,-0.006786255433949173,-0.07132217388548201,1.0,0.9402124213254887
2011-09-20,0.9940146386720682,0.8682323663841435,0.9248979022470446,-0.00659397890678326,-0.07240286605023882,1.0,0.9680567486121373
2011-09-21,0.983199941992635,0.858786157722413,0.8976522365669571,-0.017402053938754714,-0.09972804576575289,1.0,0.9773944391424715
2011-09-22,0.9830033020042366,0.8414340376666924,0.8686359612423676,-0.0175985735279669,-0.12882900249145768,0.0,1.0312241341854336
2011-09-23,0.9830033020042366,0.8396791547618369,0.873869676163034,-0.0175985735279669,-0.12358001344247671,0.0,1.0561940839942714
2011-09-26,0.9830033020042366,0.8455012193018876,0.8946503614503472,-0.0175985735279669,-0.10273868158607158,0.0,1.0429835852271385
2011-09-27,0.9830033020042366,0.8486827650384029,0.9046560287094482,-0.0175985735279669,-0.09270381368308656,0.0,1.0260321128709073
2011-09-28,0.9830033020042366,0.8378213692947827,0.8861842323936762,-0.0175985735279669,-0.11122951828224903,0.0,1.0134372729865502
2011-09-29,0.9830033020042366,0.8407331574724356,0.8931882527173147,-0.0175985735279669,-0.10420505735250896,0.0,1.0394736721702102
2011-09-30,0.9830033020042366,0.8283898746067168,0.8708681813483365,-0.0175985735279669,-0.1265902678510058,0.0,1.0172865293229123
2011-10-03,0.9830033020042366,0.8176211788467044,0.8460852747936125,-0.0175985735279669,-0.1514455010991902,0.0,1.0417070381069187
2011-10-04,0.9830033020042366,0.8289995297770043,0.8646337399749568,-0.0175985735279669,-0.13284290388323683,0.0,1.0477178165264325
2011-10-05,0.9830033020042366,0.8374415057121931,0.8806426250446003,-0.0175985735279669,-0.11678729831612,0.0,1.009147076145411
